Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
12.09;"CWN";"Alpha F4 RUS";"navigation system";;"T1";;;;;;
12.65;"CWN";"Alpha F2 RUS";"navigation system";;"T1";;;;;;
14.88;"CWN";"Alpha F3/p RUS";"navigation system";;"T1";;;;;;
15.25;"LSB";"Alpha";"wideband reception";;"T2";;;;;;
16.3;"CW";"VTX1 IND";"MSK";;"T1";;;;;;
16.4;"CW";"JXN NOR";"MSK";;"T1";;;;;;
17;"CW";"VTX2 IND";"MSK";;"T1";;;;;;
17.2;"CWN";"SAQ SWE";"Grimeton alternator, twice yearly transmissions, see: alexander.n.se/?lang=en";;"T1";;;;;;
18.1;"CWN";"RDL RUS";"FSK";;"T1";;;;;;
18.2;"CWN";"VTX3 IND";"MSK";;"T1";;;;;;
18.3;"CW";"HWU FR";"MSK";;"T1";;;;;;
18.9;"CWN";"RDL RUS";"FSK";;"T1";;;;;;
19.2;"CWN";"VTX4 IND";"MSK";;"T1";;;;;;
19.55;"CW";"GQD? GBR";"FSK";;"T1";;;;;;
19.8;"CW";"NWC AUS";"MSK";;"T1";;;;;;
20.27;"CWN";"ICV ITA";"MSK";;"T1";;;;;;
20.5;"CWN";"3SA/3SB? CHN";"FSK";;"T1";;;;;;
20.9;"CW";"HWU FR";"MSK";;"T1";;;;;;
21.1;"CWN";"RDL RUS";"FSK";;"T1";;;;;;
21.4;"CW";"NPM HI";"MSK";;"T1";;;;;;
21.5;"CWN";"? FSK";;;"T1";;;;;;
21.75;"CW";"HWU FR";"MSK";;"T1";;;;;;
22.1;"CWN";"GBZ GBR";"Skelton, FSK";;"T1";;;;;;
22.2;"CW";"NDT/JJI JPN";"MSK";;"T1";;;;;;
22.6;"CW";"HWU FR";"MSK";;"T1";;;;;;
23.4;"CW";"DHO38 GER";"MSK";;"T1";;;;;;
24;"CW";"NAA MA";"MSK";;"T1";;;;;;
24.1;"CWN";"KOR";"50bd/50Hz 9/1/2 FSK, per David L. Wilson";;"T1";;;;;;
24.5;"CWN";"CHN?";"FSK";;"T1";;;;;;
24.8;"CW";"NLK WA";"MSK";;"T1";;;;;;
25;"CWN";"KOR";"FSK, per David L. Wilson";;"T1";;;;;;
25;"CWN";"RAB99 RUS";"Beta time signal, ID @xx:06:00";;"T1";;;;;;
25.2;"CW";"NLM4 ND";"MSK";;"T1";;;;;;
26;"CWN";"Negev ISR";"FSK";;"T1";;;;;;
26.7;"CWN";"TBB TUR";"FSK";;"T1";;;;;;
27.3;"CWN";"RDL RUS";"FSK, keyed-FSK ID";;"T1";;;;;;
28;"CW";"3SB/3SQ? CHN";"MSK";;"T1";;;;;;
29.7;"CWN";"Negev ISR";"FSK";;"T1";;;;;;
31.5;"CWN";"? FSK";;;"T1";;;;;;
37.5;"CWN";"TFK ISL";;;"T1";;;;;;
38;"CWN";"SRC/SHR SWE";"FSK";;"T1";;;;;;
40;"CWN";"JJY JPN";"ID @ xx:15&45:40, time signal";;"T1";;;;;;
40.4;"CWN";"SRC SWE";;;"T1";;;;;;
40.75;"CW";"NAU PR";"MSK";;"T1";;;;;;
42.5;"CWN";"SRC SWE";;;"T1";;;;;;
44.2;"CW";"? ex-SRC";"FSK, SWE";;"T1";;;;;;
45.9;"CW";"NSY ITA";"MSK";;"T1";;;;;;
49;"CWN";"SXA GRC";;;"T1";;;;;;
51.95;"CWN";"GIY20/GNY1/GYW1 GBR";"FSK";;"T1";;;;;;
54;"CW";"NDI JPN";"MSK";;"T1";;;;;;
57.4;"CWN";"NRK ISL";"FSK";;"T1";;;;;;
60;"CWN";"JJY JPN";"ID @ xx:15&45:40, time signal";;"T1";;;;;;
60;"CWN";"WWVB";"no ID, reversed bit pattern, time signal";;"T1";;;;;;
60;"CWN";"MSF GBR";"time signal";;"T1";;;;;;
61.83;"CWN";"? FSK";"UNID";;"T1";;;;;;
62.6;"CW";"FUG FRA";"MSK";;"T1";;;;;;
63.85;"CW";"FTA63 FRA";"FSK";;"T1";;;;;;
65.8;"CW";"FUE FRA";"MSK";;"T1";;;;;;
66.35;"CW";"RBU RUS";"time signal";;"T1";;;;;;
68;"CWN";"GYN/GYN1 GBR";;;"T1";;;;;;
68.5;"CWN";"BPC CHN";"off 2100-2400Z, time signal";;"T1";;;;;;
73.6;"CW";"CFH CAN";"Halifax, MSK";;"T1";;;;;;
76.2;"CWN";"CKN CAN";"Vancouver, MSK";;"T1";;;;;;
77.5;"CWN";"DCF77 GER";"time signal";;"T1";;;;;;
81;"CWN";"GYN2 GBR";;;"T1";;;;;;
100;"AM";"Loran-C";"navigation system";;"T1";;;;;;
124;"CW";"CKN CAN";"Vancouver, MSK";;"T1";;;;;;
124.5;"CW";"SXJ GRC";"FSK";;"T1";;;;;;
128;"USB";"DCF49 GER";"telecontrol";;"T1";;;;;;
134.5;"USB";"HGA22 HNG";"telecontrol";;"T1";;;;;;
135.73;"CW";"SXV GRC";"FSK";;"T1";;;;;;
136;"USB";"WSPR";;;"T2";;;;;;
137.9;"USB";"DCF39 GER";"telecontrol";;"T1";;;;;;
147.3;"CWN";"DDH47 GER";"FSK";;"T1";;;;;;
153;"AMN";"LW 153";;;"T2";;;;;;
162;"AMN";"LW 162";;;"T2";;;;;;
171;"AMN";"LW 171";;;"T2";;;;;;
180;"AMN";"LW 180";;;"T2";;;;;;
183;"AMN";"LW 183";;;"T2";;;;;;
198;"AMN";"LW 198";;;"T2";;;;;;
207;"AMN";"LW 207";;;"T2";;;;;;
216;"AMN";"LW 216";;;"T2";;;;;;
225;"AMN";"LW 225";;;"T2";;;;;;
234;"AMN";"LW 234";;;"T2";;;;;;
243;"AMN";"LW 243";;;"T2";;;;;;
252;"AMN";"LW 252";;;"T2";;;;;;
270;"AMN";"LW 270";;;"T2";;;;;;
279;"AMN";"LW 279";;;"T2";;;;;;
474.2;"USB";"WSPR";;;"T2";;;;;;
540;"AMN";"Radio Kuwait";;;;;;;;;
558;"AMN";"Radio Iran";;;;;;;;;
846;"AMN";"UAQ Quran";;;;;;;;;
1225;"AM";"*";;;;;;;;;
1242.26;"AM";"*";;;;;;;;;
1836.6;"USB";"WSPR";;;"T2";;;;;;
1838.15;"USB";"PSK31";;;"T2";;;;;;
2500;"AM";"WWVH / WWV";"time signals";;"T1";;;;;;
2595.2;"USB";"STANAG";"loud, 12AM";;"T1";;;;;;
2627;"USB";"FAX VMC AUS";"11PM";;"T1";;;;;;
2730.5;"USB";"STANAG";"10PM";;"T1";;;;;;
3330;"USB";"CHU CAN";"time signal";;"T1";;;;;;
3365;"AM";"R. Cultura, BRA";"7AM";;"T1";;;;;;
3392;"CWN";"CW";"11PM";;"T1";;;;;;
3394;"CW";"SITOR";"11PM";;"T1";;;;;;
3407;"USB";"VOLMET";"12AM";;"T1";;;;;;
3438.5;"USB";"FSK";"1AM";;"T1";;;;;;
3467;"USB";"MWARA SP";"Major World Air Route Areas, South Pacific";;"T1";;;;;;
