 Name                     	  bandwidth	frequency 	mode
 RAKQuran                 	200000	87600000	1
 AD Classic Music         	200000	87900000	1
 AD Quran                 	200000	88200000	1
 DXB Kadak FM             	200000	88800000	1
 AJM Radio 4              	200000	89100000	1
 RAK Tamil FM             	200000	89400000	1
 Music                    	200000	89600000	1
 SkyNews                  	200000	90300000	1
 SkyNews                  	200000	90500000	1
 RockRadio                	200000	90700000	1
 FUJ Rock Radio           	200000	90800000	1
 DXB Tag 91.1             	200000	91100000	1
 DXB Quran                	200000	91400000	1
 Dubai92                  	200000	92000000	1
 Khushi                   	200000	92200000	1
 FUJAIRAH                 	200000	92600000	1
 Radio93                  	200000	93000000	1
 SHOMA934                 	200000	93400000	1
 DXB NOOR                 	200000	93900000	1
 Sharjah                  	200000	94400000	1
 Radio Asia               	200000	94700000	1
 SHJ Pulse95              	200000	95000000	1
 Ibiza Global Radio       	200000	95300000	1
 UAQ Radio Hala           	200000	95600000	1
 WatarFM 96.1             	200000	96100000	1
 DXB Hit967               	200000	96700000	1
 AD Emarat FM             	200000	97100000	1
 Kadak FM 97.3            	200000	97300000	1
 AD Zayed Quran           	200000	97600000	1
 Beat97.8                 	200000	97800000	1
 AD Radio                 	200000	98400000	1
 DXB Arabiya              	200000	99000000	1
 Radio 2                  	200000	99300000	1
 DXB Club FM              	200000	99600000	1
 Star FM                  	200000	99900000	1
 UAQ TALK1003             	200000	100300000	1
 Khalejya                 	200000	100900000	1
 AJM Gold FM              	200000	101300000	1
 City1016                 	200000	101600000	1
 Pearl                    	200000	102000000	1
 Mirchi 102.4             	200000	102400000	1
 SHJ Quran                	200000	102700000	1
 VOLNA.AE                 	200000	103200000	1
 RAK FM                   	200000	103500000	1
 DXB Eye                  	200000	103800000	1
 Radio 1                  	200000	104100000	1
 DXB Virgin               	200000	104400000	1
 AD SEHA                  	200000	104600000	1
 AJM Channel 4            	200000	104800000	1
 Vibe FM                  	200000	105400000	1
 Radio 2                  	200000	106000000	1
 UAQ Big 106.2            	200000	106200000	1
 UAQ Radio Gilli          	200000	106500000	1
 Shabab Net               	200000	106900000	1
 UAQ LUV 107.1            	200000	107100000	1
 DXB ALOula               	200000	107400000	1
 ClubFM                   	200000	107600000	1
 AJM Al Rabia FM          	200000	107800000	1

