 Name                     	  bandwidth	frequency 	mode
1	8330	118000000	2
2	8330	118025000	2
3	8330	118050000	2
4	8330	118075000	2
5	8330	118100000	2
6	8330	118125000	2
7	8330	118150000	2
8	8330	118175000	2
9 SLL TWR                	8330	118200000	2
10	8330	118225000	2
11 RKT TWR               	8330	118250000	2
12	8330	118275000	2
13	8330	118300000	2
14	8330	118325000	2
15 DXB GND               	8330	118350000	2
16 DWC GND               	8330	118375000	2
17 MCT TWR               	8330	118400000	2
18	8330	118425000	2
19 KIH TWR               	8330	118450000	2
20	8330	118475000	2
21	8330	118500000	2
22	8330	118525000	2
23	8330	118550000	2
24	8330	118575000	2
25 SHJ TWR               	8330	118600000	2
26	8330	118625000	2
27	8330	118650000	2
28	8330	118675000	2
29	8330	118700000	2
30	8330	118725000	2
31 DXB TWR               	8330	118750000	2
32	8330	118775000	2
33	8330	118800000	2
34	8330	118825000	2
 35 DXB GND               	8330	118850000	2
36	8330	118875000	2
37	8330	118900000	2
38	8330	118925000	2
39	8330	118950000	2
40	8330	118975000	2
41	8330	119000000	2
42	8330	119025000	2
43 DXB TWR               	8330	119050000	2
44	8330	119075000	2
45 SLL APP               	8330	119100000	2
46	8330	119125000	2
47	8330	119150000	2
48	8330	119175000	2
 49 AUH TWR               	8330	119200000	2
50	8330	119225000	2
51	8330	119250000	2
52	8330	119275000	2
53	8330	119300000	2
54	8330	119325000	2
55	8330	119350000	2
56	8330	119375000	2
57	8330	119400000	2
58	8330	119425000	2
 59 FJR GND               	8330	119450000	2
60	8330	119475000	2
61	8330	119500000	2
62	8330	119525000	2
 63 DXB GND               	8330	119550000	2
64	8330	119575000	2
65	8330	119600000	2
66	8330	119625000	2
67	8330	119650000	2
68	8330	119675000	2
69	8330	119700000	2
70	8330	119725000	2
71	8330	119750000	2
72	8330	119775000	2
73	8330	119800000	2
74	8330	119825000	2
 75 AAN APP TWR           	8330	119850000	2
76	8330	119875000	2
77	8330	119900000	2
78	8330	119925000	2
79	8330	119950000	2
80	8330	119975000	2
81	8330	120000000	2
82	8330	120025000	2
83	8330	120050000	2
84	8330	120075000	2
85	8330	120100000	2
86	8330	120125000	2
87	8330	120150000	2
88	8330	120175000	2
89	8330	120200000	2
90	8330	120225000	2
91	8330	120250000	2
92	8330	120275000	2
